lookback,trend,top_n,skip,min_hold,total_return,annual_return,sharpe,max_dd,sortino,calmar,trades,tx_costs
63,126,3,21,0,0.09740250797061689,0.11379503668374102,0.8254367607259763,-0.08949313981168538,1.3084412054137886,1.2715503883671144,5,0.0
126,126,2,0,0,0.020642601773518177,0.03372485787989121,0.3401046979517115,-0.11561453756591189,0.5605943909517345,0.2917008413467438,2,0.0
252,252,1,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
252,252,1,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
